"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Houma-Thibodaux, LA","26380",2021,90,85,5,0,0,0,0,55,47,37,0,0,52,0,38,0
"Huntington-Ashland, WV-KY-OH","26580",2021,90,73,17,0,0,0,0,75,60,37,0,0,31,0,59,0
"Idaho Falls, ID","26820",2021,59,59,0,0,0,0,0,48,44,38,0,0,59,0,0,0
"Indiana, PA","26860",2021,69,68,1,0,0,0,0,58,43,33,0,0,69,0,0,0
"Indianapolis-Carmel-Anderson, IN","26900",2021,120,73,47,0,0,0,0,98,70,46,0,1,58,0,61,0
"Iowa City, IA","26980",2021,109,59,49,1,0,0,0,107,69,47,0,0,0,0,109,0
"Ithaca, NY","27060",2021,59,58,1,0,0,0,0,54,44,36,0,0,59,0,0,0
"Jackson, MS","27140",2021,91,63,28,0,0,0,0,71,57,44,1,0,19,0,71,0
"Jackson, WY-ID","27220",2021,60,60,0,0,0,0,0,46,43,38,1,0,59,0,0,0
"Jamestown-Dunkirk-Fredonia, NY","27460",2021,90,84,6,0,0,0,0,67,49,37,0,0,84,1,5,0
"Jasper, IN","27540",2021,31,23,8,0,0,0,0,83,60,35,0,0,0,0,30,1
"Johnstown, PA","27780",2021,66,64,2,0,0,0,0,58,44,36,0,0,66,0,0,0
"Joplin, MO","27900",2021,54,45,9,0,0,0,0,69,54,10,0,0,0,0,0,54
"Kalispell, MT","28060",2021,59,53,6,0,0,0,0,65,51,34,0,0,38,0,11,10
"Kansas City, MO-KS","28140",2021,60,39,21,0,0,0,0,93,65,43,1,4,0,0,48,7
"Kennewick-Richland, WA","28420",2021,31,29,2,0,0,0,0,53,48,29,0,0,0,0,30,1
"Killeen-Temple, TX","28660",2021,31,30,1,0,0,0,0,93,45,33,0,0,18,0,13,0
"Kinston, NC","28820",2021,59,57,2,0,0,0,0,77,47,28,0,0,31,0,0,28
"Knoxville, TN","28940",2021,120,86,32,2,0,0,0,150,64,43,0,0,62,0,58,0
"Kokomo, IN","29020",2021,90,73,17,0,0,0,0,78,54,39,0,0,51,0,39,0
"Lafayette, LA","29180",2021,90,76,14,0,0,0,0,80,52,39,0,0,55,0,35,0
"Lafayette-West Lafayette, IN","29200",2021,120,98,22,0,0,0,0,82,58,40,0,0,70,0,50,0
"Lake Charles, LA","29340",2021,90,71,19,0,0,0,0,74,54,42,0,0,37,1,52,0
"Lake Havasu City-Kingman, AZ","29420",2021,90,90,0,0,0,0,0,46,22,12,0,0,0,0,0,90
"Lancaster, PA","29540",2021,86,85,1,0,0,0,0,61,44,35,0,0,86,0,0,0
"Laramie, WY","29660",2021,59,59,0,0,0,0,0,47,45,43,0,0,59,0,0,0
"Las Cruces, NM","29740",2021,90,56,30,1,1,1,1,438,74,46,0,1,45,0,7,37
"Las Vegas-Henderson-Paradise, NV","29820",2021,91,57,33,1,0,0,0,112,74,48,1,3,46,0,38,3
"Lawton, OK","30020",2021,118,92,26,0,0,0,0,71,56,43,0,0,77,0,41,0
"Lebanon, PA","30140",2021,66,66,0,0,0,0,0,49,42,35,0,0,66,0,0,0
"Lewiston, ID-WA","30300",2021,90,73,17,0,0,0,0,94,65,15,0,0,0,0,90,0
"Lewiston-Auburn, ME","30340",2021,110,105,5,0,0,0,0,54,46,34,0,0,59,0,51,0
"Lima, OH","30620",2021,59,46,13,0,0,0,0,68,59,36,0,0,0,0,59,0
"Lincoln, NE","30700",2021,20,15,5,0,0,0,0,65,56,27,0,0,0,2,18,0
"Little Rock-North Little Rock-Conway, AR","30780",2021,91,67,24,0,0,0,0,100,56,40,1,6,23,0,61,0
"Logan, UT-ID","30860",2021,90,68,21,1,0,0,0,105,74,40,0,0,57,0,30,3
"Longview, WA","31020",2021,31,28,3,0,0,0,0,59,39,23,0,0,0,0,31,0
"Louisville/Jefferson County, KY-IN","31140",2021,90,65,25,0,0,0,0,88,67,42,0,0,36,0,54,0
"Lubbock, TX","31180",2021,18,17,1,0,0,0,0,66,33,13,0,0,0,0,18,0
"Macon, GA","31420",2021,59,51,8,0,0,0,0,78,62,29,0,0,0,0,59,0
"Madison, WI","31540",2021,5,4,1,0,0,0,0,55,55,43,0,0,0,0,5,0
"Marietta, OH","31930",2021,59,59,0,0,0,0,0,29,24,4,0,0,0,59,0,0
