"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, WA","10140",2021,31,31,0,0,0,0,0,49,38,23,0,0,0,0,31,0
"Adrian, MI","10300",2021,90,67,23,0,0,0,0,83,61,40,0,0,27,0,63,0
"Akron, OH","10420",2021,59,47,12,0,0,0,0,74,62,33,0,0,0,6,53,0
"Albany, GA","10500",2021,59,46,13,0,0,0,0,92,70,35,0,0,0,0,59,0
"Albany-Schenectady-Troy, NY","10580",2021,90,74,16,0,0,0,0,86,56,39,0,0,54,0,36,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2021,79,78,1,0,0,0,0,61,44,34,0,0,79,0,0,0
"Altoona, PA","11020",2021,72,71,1,0,0,0,0,64,42,33,0,0,72,0,0,0
"Amarillo, TX","11100",2021,59,58,0,1,0,0,0,104,43,35,0,0,49,3,7,0
"Americus, GA","11140",2021,61,53,8,0,0,0,0,74,51,42,0,0,61,0,0,0
"Ann Arbor, MI","11460",2021,90,90,0,0,0,0,0,50,43,33,0,0,90,0,0,0
"Ardmore, OK","11620",2021,109,76,33,0,0,0,0,93,64,44,0,0,50,0,59,0
"Arkadelphia, AR","11660",2021,58,57,1,0,0,0,0,54,37,30,0,0,58,0,0,0
"Asheville, NC","11700",2021,90,83,7,0,0,0,0,67,48,35,0,0,31,13,46,0
"Ashtabula, OH","11780",2021,59,59,0,0,0,0,0,11,9,7,0,0,0,59,0,0
"Athens, OH","11900",2021,18,17,1,0,0,0,0,56,48,21,0,0,0,0,18,0
"Athens-Clarke County, GA","12020",2021,59,45,14,0,0,0,0,68,58,34,0,0,0,0,59,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2021,120,96,24,0,0,0,0,80,60,43,0,11,68,0,41,0
"Augusta-Richmond County, GA-SC","12260",2021,90,69,19,2,0,0,0,145,64,41,0,0,49,2,39,0
"Augusta-Waterville, ME","12300",2021,61,60,1,0,0,0,0,51,44,38,0,0,61,0,0,0
"Austin-Round Rock, TX","12420",2021,32,26,6,0,0,0,0,77,53,39,1,1,11,0,19,0
"Bakersfield, CA","12540",2021,32,8,13,10,1,0,0,152,143,92,0,0,0,0,30,2
"Baltimore-Columbia-Towson, MD","12580",2021,90,71,19,0,0,0,0,84,63,42,0,0,29,2,59,0
"Bangor, ME","12620",2021,120,111,9,0,0,0,0,71,49,38,0,0,67,0,53,0
"Barnstable Town, MA","12700",2021,31,31,0,0,0,0,0,38,37,33,0,0,31,0,0,0
"Bartlesville, OK","12780",2021,120,84,31,5,0,0,0,129,68,45,0,0,56,0,64,0
"Baton Rouge, LA","12940",2021,91,81,10,0,0,0,0,64,52,41,1,0,59,1,30,0
"Bay City, MI","13020",2021,90,77,13,0,0,0,0,72,56,23,0,0,0,0,90,0
"Beaumont-Port Arthur, TX","13140",2021,31,27,4,0,0,0,0,75,53,36,0,0,17,0,14,0
"Beaver Dam, WI","13180",2021,11,8,3,0,0,0,0,75,73,36,0,0,0,0,11,0
"Bellingham, WA","13380",2021,31,30,1,0,0,0,0,51,38,16,0,0,0,5,26,0
"Big Spring, TX","13700",2021,29,15,7,5,2,0,0,178,146,49,0,0,0,29,0,0
"Billings, MT","13740",2021,31,27,4,0,0,0,0,67,52,22,0,0,0,2,29,0
"Birmingham-Hoover, AL","13820",2021,60,33,27,0,0,0,0,93,64,50,1,1,2,0,55,1
"Bishop, CA","13860",2021,120,120,0,0,0,0,0,48,42,29,0,0,56,0,30,34
"Bismarck, ND","13900",2021,60,50,9,0,1,0,0,152,58,32,1,2,31,0,26,0
"Blacksburg-Christiansburg-Radford, VA","13980",2021,57,57,0,0,0,0,0,45,39,31,0,0,57,0,0,0
"Bloomington, IL","14010",2021,90,66,24,0,0,0,0,71,58,40,0,0,13,0,77,0
"Bloomington, IN","14020",2021,88,74,14,0,0,0,0,75,58,38,0,0,50,0,38,0
"Borger, TX","14420",2021,31,30,0,1,0,0,0,102,34,0,0,0,0,31,0,0
"Boston-Cambridge-Newton, MA-NH","14460",2021,50,40,10,0,0,0,0,87,56,33,1,3,11,0,35,0
"Boulder, CO","14500",2021,54,48,5,1,0,0,0,116,55,33,0,0,27,0,25,2
"Bowling Green, KY","14540",2021,60,60,0,0,0,0,0,46,40,30,3,0,57,0,0,0
"Bozeman, MT","14580",2021,60,58,2,0,0,0,0,54,38,20,8,14,0,0,38,0
"Bremerton-Silverdale, WA","14740",2021,31,31,0,0,0,0,0,50,40,23,0,0,0,0,31,0
"Brunswick, GA","15260",2021,10,9,1,0,0,0,0,58,58,31,0,0,0,0,10,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2021,91,76,15,0,0,0,0,76,54,39,1,6,52,1,31,0
"Butte-Silver Bow, MT","15580",2021,31,28,3,0,0,0,0,77,50,20,0,0,0,0,25,6
"Cadillac, MI","15620",2021,90,76,14,0,0,0,0,67,55,36,0,0,34,0,56,0
"Cambridge, MD","15700",2021,90,81,9,0,0,0,0,71,51,37,0,0,69,0,21,0
"Cambridge, OH","15740",2021,59,57,2,0,0,0,0,59,26,3,0,0,0,59,0,0
"Canton-Massillon, OH","15940",2021,90,54,36,0,0,0,0,92,72,45,0,0,20,0,70,0
"Carlsbad-Artesia, NM","16100",2021,59,59,0,0,0,0,0,49,44,40,0,0,59,0,0,0
"Ca¤on City, CO","15860",2021,5,5,0,0,0,0,0,19,19,9,0,0,0,0,0,5
"Cedar City, UT","16260",2021,90,90,0,0,0,0,0,47,42,36,0,9,80,0,1,0
"Cedar Rapids, IA","16300",2021,120,66,51,3,0,0,0,123,67,47,0,0,26,1,93,0
"Centralia, WA","16500",2021,31,27,4,0,0,0,0,55,51,23,0,0,0,0,31,0
"Chambersburg-Waynesboro, PA","16540",2021,73,73,0,0,0,0,0,50,40,33,0,0,73,0,0,0
"Champaign-Urbana, IL","16580",2021,90,73,17,0,0,0,0,78,58,37,0,0,38,0,52,0
"Charleston, WV","16620",2021,91,78,13,0,0,0,0,69,55,38,1,0,46,0,44,0
"Charleston-North Charleston, SC","16700",2021,90,75,15,0,0,0,0,67,56,38,0,0,42,0,48,0
"Charlotte-Concord-Gastonia, NC-SC","16740",2021,91,74,17,0,0,0,0,71,53,40,1,1,45,0,44,0
"Chattanooga, TN-GA","16860",2021,59,52,7,0,0,0,0,56,51,29,0,0,0,0,59,0
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2021,92,25,65,2,0,0,0,104,74,59,0,7,5,9,70,1
"Cincinnati, OH-KY-IN","17140",2021,91,42,48,1,0,0,0,107,74,51,1,3,13,0,70,4
"Claremont-Lebanon, NH-VT","17200",2021,57,57,0,0,0,0,0,43,39,35,0,0,57,0,0,0
"Clarksville, TN-KY","17300",2021,59,58,1,0,0,0,0,58,43,31,0,0,59,0,0,0
"Cleveland, MS","17380",2021,87,76,11,0,0,0,0,63,51,35,0,0,27,0,60,0
"Cleveland-Elyria, OH","17460",2021,60,17,43,0,0,0,0,96,80,56,1,0,1,0,58,0
"Clinton, IA","17540",2021,120,58,60,2,0,0,0,112,70,51,0,0,24,0,96,0
"College Station-Bryan, TX","17780",2021,31,29,2,0,0,0,0,84,49,28,0,0,0,1,30,0
"Colorado Springs, CO","17820",2021,61,61,0,0,0,0,0,46,44,39,0,0,59,0,0,2
"Columbia, SC","17900",2021,90,76,14,0,0,0,0,67,55,39,0,1,48,0,41,0
"Columbus, GA-AL","17980",2021,120,105,15,0,0,0,0,73,51,34,0,0,61,0,59,0
"Columbus, IN","18020",2021,120,106,14,0,0,0,0,74,54,38,0,0,89,0,31,0
"Columbus, OH","18140",2021,60,37,23,0,0,0,0,85,68,46,1,4,0,0,55,0
"Corning, NY","18500",2021,91,81,10,0,0,0,0,62,54,38,1,0,71,0,19,0
"Corsicana, TX","18620",2021,31,31,0,0,0,0,0,46,40,31,0,0,16,5,10,0
"Dallas-Fort Worth-Arlington, TX","19100",2021,32,22,10,0,0,0,0,63,56,40,1,2,10,0,19,0
"Danville, VA","19260",2021,90,90,0,0,0,0,0,21,13,4,0,90,0,0,0,0
"Davenport-Moline-Rock Island, IA-IL","19340",2021,121,66,55,0,0,0,0,98,66,50,1,0,35,0,72,13
"Dayton, OH","19380",2021,70,45,25,0,0,0,0,95,67,43,1,0,12,0,57,0
